variant_id,task_id,source,transformation,template,function_name,helper,control_unedited_fails,repaired,outcome,first_error,material_provenance,tokens_changed,lines_changed,diff_file
verina_advanced_41__T2_helper_extract__0,verina_advanced_41,deepseek-prover-v2-7b,T2_helper_extract,dsimp_add_helper,maxOfThree,maxOfThree__rp_helper_7c6c6d3d,True,True,survives,,"primary row of results/model_proofs.jsonl, proof hash verified",2,1,mechanical_repair_diffs/verina_advanced_41__T2_helper_extract__0__deepseek-prover-v2-7b__dsimp_add_helper.diff
verina_advanced_41__T5_branch_extract__0,verina_advanced_41,deepseek-prover-v2-7b,T5_branch_extract,dsimp_add_helper,maxOfThree,maxOfThree__rp_branch_81742a90,True,True,survives,,"primary row of results/model_proofs.jsonl, proof hash verified",2,1,mechanical_repair_diffs/verina_advanced_41__T5_branch_extract__0__deepseek-prover-v2-7b__dsimp_add_helper.diff
verina_advanced_6__T2_helper_extract__0,verina_advanced_6,deepseek-prover-v2-7b,T2_helper_extract,unfold_add_helper,allVowels,allVowels__rp_helper_1905f5d2,True,True,survives,,"primary row of results/model_proofs.jsonl, proof hash verified",1,1,mechanical_repair_diffs/verina_advanced_6__T2_helper_extract__0__deepseek-prover-v2-7b__unfold_add_helper.diff
verina_advanced_6__T2_helper_extract__0,verina_advanced_6,goedel-prover-v2-32b,T2_helper_extract,dsimp_add_helper,allVowels,allVowels__rp_helper_1905f5d2,True,True,survives,,"primary row of results/model_proofs.jsonl, proof hash verified",2,1,mechanical_repair_diffs/verina_advanced_6__T2_helper_extract__0__goedel-prover-v2-32b__dsimp_add_helper.diff
verina_advanced_6__T2_helper_extract__0,verina_advanced_6,goedel-prover-v2-8b,T2_helper_extract,dsimp_add_helper,allVowels,allVowels__rp_helper_1905f5d2,True,True,survives,,"primary row of results/model_proofs.jsonl, proof hash verified",2,1,mechanical_repair_diffs/verina_advanced_6__T2_helper_extract__0__goedel-prover-v2-8b__dsimp_add_helper.diff
verina_advanced_72__T2_helper_extract__0,verina_advanced_72,goedel-prover-v2-8b,T2_helper_extract,simp_add_helper,singleDigitPrimeFactor,singleDigitPrimeFactor__rp_helper_2e72e101,True,False,proof_fails,"unsolved goals
n : ℕ
h_precond : singleDigitPrimeFactor_precond n
h₂ : ¬n = 0
h : n % 2 = 0
⊢ singleDigitPrimeFactor__rp_helper_2e72e101 n h_precond = 2

n : ℕ
h_precond : singleDigitPrimeFactor_precond n
h₂ : ¬n = 0
h : n % 2 = 1
h_1 : n % 3 = 0
⊢ singleDigitPrimeFactor__rp_helper_2e72e101 n h_prec","primary row of results/model_proofs.jsonl, proof hash verified",2,1,mechanical_repair_diffs/verina_advanced_72__T2_helper_extract__0__goedel-prover-v2-8b__simp_add_helper.diff
verina_advanced_72__T5_branch_extract__0,verina_advanced_72,goedel-prover-v2-8b,T5_branch_extract,simp_add_helper,singleDigitPrimeFactor,singleDigitPrimeFactor__rp_branch_4e87d626,True,False,proof_fails,"unsolved goals
n : ℕ
h_precond : singleDigitPrimeFactor_precond n
h₂ : ¬n = 0
h : n % 2 = 0
⊢ singleDigitPrimeFactor__rp_branch_4e87d626 n h_precond = 2

n : ℕ
h_precond : singleDigitPrimeFactor_precond n
h₂ : ¬n = 0
h : n % 2 = 1
h_1 : n % 3 = 0
⊢ singleDigitPrimeFactor__rp_branch_4e87d626 n h_prec","primary row of results/model_proofs.jsonl, proof hash verified",2,1,mechanical_repair_diffs/verina_advanced_72__T5_branch_extract__0__goedel-prover-v2-8b__simp_add_helper.diff
verina_basic_100__T2_helper_extract__0,verina_basic_100,deepseek-prover-v2-7b,T2_helper_extract,dsimp_add_helper,Triple,Triple__rp_helper_574d859a,True,True,survives,,"primary row of results/model_proofs.jsonl, proof hash verified",2,1,mechanical_repair_diffs/verina_basic_100__T2_helper_extract__0__deepseek-prover-v2-7b__dsimp_add_helper.diff
verina_basic_100__T2_helper_extract__0,verina_basic_100,goedel-prover-v2-32b,T2_helper_extract,simp_add_helper,Triple,Triple__rp_helper_574d859a,True,False,proof_fails,"linarith failed to find a contradiction
case h1.h
x : ℤ
h_precond : Triple_precond x
h₂ : ¬x = 0
a✝ : Triple__rp_helper_574d859a x h_precond < x * 3
⊢ False failed
","primary row of results/model_proofs.jsonl, proof hash verified",2,1,mechanical_repair_diffs/verina_basic_100__T2_helper_extract__0__goedel-prover-v2-32b__simp_add_helper.diff
verina_basic_100__T2_helper_extract__0,verina_basic_100,goedel-prover-v2-8b,T2_helper_extract,simp_add_helper,Triple,Triple__rp_helper_574d859a,True,True,survives,,"primary row of results/model_proofs.jsonl, proof hash verified",2,1,mechanical_repair_diffs/verina_basic_100__T2_helper_extract__0__goedel-prover-v2-8b__simp_add_helper.diff
