task_id,category,reference_proof_status,has_reference_proof,compiles_in_pinned_env,in_construction_population,code_loc,code_tokens,reference_proof_loc,recursive,has_let_rec,self_recursive,has_where,n_applicable_families,applicable_families,n_certified_variants
verina_advanced_1,advanced,sorry,False,True,True,14,55,,True,True,False,False,2,T1_let_intro;T2_helper_extract,2
verina_advanced_10,advanced,sorry,False,True,True,23,153,,True,True,False,True,1,T3_comm_swap,0
verina_advanced_11,advanced,sorry,False,True,True,5,37,,False,False,False,False,2,T1_let_intro;T2_helper_extract,2
verina_advanced_12,advanced,sorry,False,True,True,5,55,,True,True,False,False,2,T1_let_intro;T2_helper_extract,2
verina_advanced_13,advanced,sorry,False,True,True,29,287,,True,True,False,False,2,T1_let_intro;T2_helper_extract,2
verina_advanced_14,advanced,sorry,False,True,True,14,56,,True,True,False,False,2,T1_let_intro;T2_helper_extract,2
verina_advanced_15,advanced,sorry,False,True,True,17,116,,True,True,False,False,3,T1_let_intro;T2_helper_extract;T4_cond_invert,3
verina_advanced_16,advanced,sorry,False,True,True,13,96,,True,True,False,False,2,T1_let_intro;T2_helper_extract,2
verina_advanced_17,advanced,sorry,False,True,True,2,7,,False,False,False,False,2,T1_let_intro;T2_helper_extract,2
verina_advanced_18,advanced,sorry,False,True,True,2,11,,False,False,False,False,2,T1_let_intro;T2_helper_extract,2
verina_advanced_19,advanced,sorry,False,True,True,2,10,,False,False,False,False,2,T1_let_intro;T2_helper_extract,2
verina_advanced_2,advanced,sorry,False,True,True,16,179,,False,False,False,False,3,T1_let_intro;T2_helper_extract;T3_comm_swap,5
verina_advanced_20,advanced,sorry,False,True,True,7,48,,True,True,False,False,2,T1_let_intro;T2_helper_extract,2
verina_advanced_21,advanced,sorry,False,True,True,24,170,,True,True,False,False,4,T1_let_intro;T2_helper_extract;T3_comm_swap;T4_cond_invert,4
verina_advanced_22,advanced,sorry,False,True,True,12,89,,True,True,False,False,3,T1_let_intro;T2_helper_extract;T3_comm_swap,2
verina_advanced_23,advanced,sorry,False,True,True,8,55,,True,True,False,False,3,T1_let_intro;T2_helper_extract;T4_cond_invert,3
verina_advanced_24,advanced,sorry,False,True,True,8,98,,True,True,False,False,2,T1_let_intro;T2_helper_extract,2
verina_advanced_25,advanced,sorry,False,True,True,10,80,,False,False,False,False,3,T1_let_intro;T2_helper_extract;T3_comm_swap,3
verina_advanced_26,advanced,sorry,False,True,True,13,111,,True,False,False,True,0,,0
verina_advanced_27,advanced,sorry,False,True,True,4,21,,False,False,False,False,2,T1_let_intro;T2_helper_extract,2
verina_advanced_28,advanced,sorry,False,False,False,17,80,,False,False,False,False,3,T1_let_intro;T2_helper_extract;T3_comm_swap,0
verina_advanced_29,advanced,sorry,False,True,True,22,136,,False,False,False,False,3,T1_let_intro;T2_helper_extract;T3_comm_swap,4
verina_advanced_3,advanced,sorry,False,True,True,16,179,,False,False,False,False,3,T1_let_intro;T2_helper_extract;T3_comm_swap,5
verina_advanced_30,advanced,sorry,False,True,True,10,107,,True,True,False,False,3,T1_let_intro;T2_helper_extract;T3_comm_swap,2
verina_advanced_31,advanced,sorry,False,True,True,3,23,,False,False,False,False,2,T1_let_intro;T2_helper_extract,2
verina_advanced_32,advanced,sorry,False,True,True,24,203,,True,True,False,False,3,T1_let_intro;T2_helper_extract;T3_comm_swap,2
verina_advanced_33,advanced,sorry,False,True,True,19,148,,True,True,False,False,2,T1_let_intro;T2_helper_extract,2
verina_advanced_34,advanced,sorry,False,True,True,11,63,,False,False,False,False,2,T1_let_intro;T2_helper_extract,2
verina_advanced_35,advanced,sorry,False,True,True,9,70,,False,False,False,False,3,T1_let_intro;T2_helper_extract;T3_comm_swap,3
verina_advanced_36,advanced,sorry,False,True,True,25,170,,True,True,False,False,3,T1_let_intro;T2_helper_extract;T3_comm_swap,2
verina_advanced_37,advanced,sorry,False,True,True,23,156,,True,True,False,False,2,T1_let_intro;T2_helper_extract,2
verina_advanced_38,advanced,sorry,False,True,True,14,134,,False,False,False,False,4,T1_let_intro;T2_helper_extract;T3_comm_swap;T4_cond_invert,4
verina_advanced_39,advanced,sorry,False,True,True,8,63,,True,True,False,False,2,T1_let_intro;T2_helper_extract,2
verina_advanced_4,advanced,sorry,False,True,True,12,91,,False,False,False,False,3,T1_let_intro;T2_helper_extract;T3_comm_swap,2
verina_advanced_40,advanced,sorry,False,True,True,8,63,,True,True,False,False,2,T1_let_intro;T2_helper_extract,2
verina_advanced_41,advanced,sorry,False,True,True,3,29,,False,False,False,False,4,T1_let_intro;T2_helper_extract;T4_cond_invert;T5_branch_extract,4
