task_id,proof_source,variant_id,transformation,class,survives,survival_outcome,mechanism,supporting_fragment,unambiguous,all_matched_categories,notes
verina_advanced_41,deepseek-prover-v2-7b,verina_advanced_41__T2_helper_extract__0,T2_helper_extract,structural,False,proof_fails,simp[f],"dsimp only [maxOfThree, maxOfThree_precond]",True,simp[f],single bridging construct
verina_advanced_41,goedel-prover-v2-32b,verina_advanced_41__T2_helper_extract__0,T2_helper_extract,structural,True,survives,rfl_equation,"have h₁ : maxOfThree a b c h_precond = if a >= b && a >= c then a else if b >= a && b >= c then b else c := by
      rfl",True,rfl_equation,single bridging construct
verina_advanced_41,goedel-prover-v2-8b,verina_advanced_41__T2_helper_extract__0,T2_helper_extract,structural,True,survives,rfl_equation,"have h₁ : maxOfThree (a) (b) (c) h_precond = if a >= b && a >= c then a else if b >= a && b >= c then b else c := by
        rfl",True,rfl_equation,single bridging construct
verina_advanced_41,deepseek-prover-v2-7b,verina_advanced_41__T4_cond_invert__0,T4_cond_invert,semantic,True,survives,simp[f],"dsimp only [maxOfThree, maxOfThree_precond]",True,simp[f],single bridging construct
verina_advanced_41,goedel-prover-v2-32b,verina_advanced_41__T4_cond_invert__0,T4_cond_invert,semantic,False,proof_fails,rfl_equation,"have h₁ : maxOfThree a b c h_precond = if a >= b && a >= c then a else if b >= a && b >= c then b else c := by
      rfl",True,rfl_equation,single bridging construct
verina_advanced_41,goedel-prover-v2-8b,verina_advanced_41__T4_cond_invert__0,T4_cond_invert,semantic,False,proof_fails,rfl_equation,"have h₁ : maxOfThree (a) (b) (c) h_precond = if a >= b && a >= c then a else if b >= a && b >= c then b else c := by
        rfl",True,rfl_equation,single bridging construct
verina_advanced_41,deepseek-prover-v2-7b,verina_advanced_41__T5_branch_extract__0,T5_branch_extract,structural,False,proof_fails,simp[f],"dsimp only [maxOfThree, maxOfThree_precond]",True,simp[f],single bridging construct
verina_advanced_41,goedel-prover-v2-32b,verina_advanced_41__T5_branch_extract__0,T5_branch_extract,structural,True,survives,rfl_equation,"have h₁ : maxOfThree a b c h_precond = if a >= b && a >= c then a else if b >= a && b >= c then b else c := by
      rfl",True,rfl_equation,single bridging construct
verina_advanced_41,goedel-prover-v2-8b,verina_advanced_41__T5_branch_extract__0,T5_branch_extract,structural,True,survives,rfl_equation,"have h₁ : maxOfThree (a) (b) (c) h_precond = if a >= b && a >= c then a else if b >= a && b >= c then b else c := by
        rfl",True,rfl_equation,single bridging construct
verina_advanced_6,deepseek-prover-v2-7b,verina_advanced_6__T2_helper_extract__0,T2_helper_extract,structural,False,proof_fails,unfold,unfold allVowels,True,unfold,single bridging construct
verina_advanced_6,goedel-prover-v2-32b,verina_advanced_6__T2_helper_extract__0,T2_helper_extract,structural,False,proof_fails,simp[f],"dsimp only [allVowels_postcond, allVowels]",True,simp[f],single bridging construct
verina_advanced_6,goedel-prover-v2-8b,verina_advanced_6__T2_helper_extract__0,T2_helper_extract,structural,False,proof_fails,simp[f],"dsimp [allVowels_postcond, allVowels]",True,simp[f],single bridging construct
