group,transformation,severity,n_tasks,n_variants,psr_task,ci_low,ci_high,psr_variant
deepseek-prover-v2-7b,T1_let_intro,D,31,31,1.0,1.0,1.0,1.0
deepseek-prover-v2-7b,T2_helper_extract,S,30,30,0.1,0.0,0.23333333333333334,0.1
deepseek-prover-v2-7b,T3_comm_swap,E,11,16,0.5454545454545454,0.2727272727272727,0.8181818181818182,0.6875
deepseek-prover-v2-7b,T4_cond_invert,E,9,9,1.0,1.0,1.0,1.0
deepseek-prover-v2-7b,T5_branch_extract,S,9,9,0.2222222222222222,0.0,0.5555555555555556,0.2222222222222222
deepseek-prover-v2-7b__hard_unfold,T1_let_intro,D,30,30,1.0,1.0,1.0,1.0
deepseek-prover-v2-7b__hard_unfold,T2_helper_extract,S,29,29,0.1724137931034483,0.034482758620689655,0.3103448275862069,0.1724137931034483
deepseek-prover-v2-7b__hard_unfold,T3_comm_swap,E,11,16,0.5,0.22727272727272727,0.7727272727272727,0.625
deepseek-prover-v2-7b__hard_unfold,T4_cond_invert,E,9,9,0.7777777777777778,0.4444444444444444,1.0,0.7777777777777778
deepseek-prover-v2-7b__hard_unfold,T5_branch_extract,S,9,9,0.2222222222222222,0.0,0.5555555555555556,0.2222222222222222
goedel-prover-v2-32b,T1_let_intro,D,26,26,1.0,1.0,1.0,1.0
goedel-prover-v2-32b,T2_helper_extract,S,25,25,0.24,0.08,0.4,0.24
goedel-prover-v2-32b,T3_comm_swap,E,11,16,0.5757575757575757,0.303030303030303,0.8484848484848484,0.625
goedel-prover-v2-32b,T4_cond_invert,E,8,8,0.875,0.625,1.0,0.875
goedel-prover-v2-32b,T5_branch_extract,S,8,8,0.25,0.0,0.625,0.25
goedel-prover-v2-8b,T1_let_intro,D,29,29,1.0,1.0,1.0,1.0
goedel-prover-v2-8b,T2_helper_extract,S,28,28,0.25,0.10714285714285714,0.42857142857142855,0.25
goedel-prover-v2-8b,T3_comm_swap,E,11,16,0.6060606060606061,0.3333333333333333,0.8787878787878788,0.6875
goedel-prover-v2-8b,T4_cond_invert,E,10,10,0.9,0.7,1.0,0.9
goedel-prover-v2-8b,T5_branch_extract,S,10,10,0.2,0.0,0.5,0.2
goedel-prover-v2-8b__avoid_unfold,T1_let_intro,D,32,32,1.0,1.0,1.0,1.0
goedel-prover-v2-8b__avoid_unfold,T2_helper_extract,S,31,31,0.22580645161290322,0.0967741935483871,0.3870967741935484,0.22580645161290322
goedel-prover-v2-8b__avoid_unfold,T3_comm_swap,E,11,16,0.5454545454545454,0.2727272727272727,0.8181818181818182,0.6875
goedel-prover-v2-8b__avoid_unfold,T4_cond_invert,E,9,9,0.7777777777777778,0.4444444444444444,1.0,0.7777777777777778
goedel-prover-v2-8b__avoid_unfold,T5_branch_extract,S,9,9,0.2222222222222222,0.0,0.5555555555555556,0.2222222222222222
goedel-prover-v2-8b__hard_unfold,T1_let_intro,D,31,31,1.0,1.0,1.0,1.0
goedel-prover-v2-8b__hard_unfold,T2_helper_extract,S,31,31,0.06451612903225806,0.0,0.16129032258064516,0.06451612903225806
goedel-prover-v2-8b__hard_unfold,T3_comm_swap,E,12,17,0.8333333333333334,0.5833333333333334,1.0,0.8823529411764706
goedel-prover-v2-8b__hard_unfold,T4_cond_invert,E,10,10,1.0,1.0,1.0,1.0
goedel-prover-v2-8b__hard_unfold,T5_branch_extract,S,10,10,0.3,0.0,0.6,0.3
goedel-prover-v2-8b__unfold,T1_let_intro,D,1,1,1.0,1.0,1.0,1.0
goedel-prover-v2-8b__unfold,T2_helper_extract,S,1,1,0.0,0.0,0.0,0.0
qwen3-14b,T1_let_intro,D,5,5,1.0,1.0,1.0,1.0
qwen3-14b,T2_helper_extract,S,5,5,0.0,0.0,0.0,0.0
qwen3-14b,T3_comm_swap,E,3,4,0.0,0.0,0.0,0.0
qwen3-14b,T4_cond_invert,E,1,1,1.0,1.0,1.0,1.0
qwen3-14b,T5_branch_extract,S,1,1,0.0,0.0,0.0,0.0
qwen3-14b__neutral,T1_let_intro,D,8,8,1.0,1.0,1.0,1.0
qwen3-14b__neutral,T2_helper_extract,S,8,8,0.125,0.0,0.375,0.125
qwen3-14b__neutral,T3_comm_swap,E,3,4,0.0,0.0,0.0,0.0
qwen3-14b__neutral,T4_cond_invert,E,1,1,1.0,1.0,1.0,1.0
qwen3-14b__neutral,T5_branch_extract,S,1,1,0.0,0.0,0.0,0.0
qwen3-32b,T1_let_intro,D,5,5,1.0,1.0,1.0,1.0
qwen3-32b,T2_helper_extract,S,5,5,0.2,0.0,0.6,0.2
qwen3-32b,T3_comm_swap,E,2,2,0.0,0.0,0.0,0.0
qwen3-32b,T4_cond_invert,E,1,1,1.0,1.0,1.0,1.0
qwen3-32b,T5_branch_extract,S,1,1,1.0,1.0,1.0,1.0
reference,T1_let_intro,D,46,46,1.0,1.0,1.0,1.0
reference,T2_helper_extract,S,46,46,0.021739130434782608,0.0,0.06521739130434782,0.021739130434782608
reference,T3_comm_swap,E,11,15,0.18181818181818182,0.0,0.45454545454545453,0.13333333333333333
reference,T4_cond_invert,E,12,12,0.6666666666666666,0.4166666666666667,0.9166666666666666,0.6666666666666666
reference,T5_branch_extract,S,11,11,0.18181818181818182,0.0,0.45454545454545453,0.18181818181818182
