kind,id,file,declaration,axioms,n_axioms,uses_sorry_axiom,beyond_standard,status,elapsed_seconds
certificate,verina_advanced_1__T1_let_intro__0,artifacts/certificates/verina_advanced_1/verina_advanced_1__T1_let_intro__0.lean,rp_equiv_rfl_nosmart,,0,False,,clean,1.316
certificate,verina_advanced_1__T2_helper_extract__0,artifacts/certificates/verina_advanced_1/verina_advanced_1__T2_helper_extract__0.lean,rp_equiv_rfl_nosmart,,0,False,,clean,1.323
certificate,verina_advanced_11__T1_let_intro__0,artifacts/certificates/verina_advanced_11/verina_advanced_11__T1_let_intro__0.lean,rp_equiv_rfl,,0,False,,clean,1.285
certificate,verina_advanced_11__T2_helper_extract__0,artifacts/certificates/verina_advanced_11/verina_advanced_11__T2_helper_extract__0.lean,rp_equiv_rfl,,0,False,,clean,1.283
certificate,verina_advanced_12__T1_let_intro__0,artifacts/certificates/verina_advanced_12/verina_advanced_12__T1_let_intro__0.lean,rp_equiv_rfl_nosmart,,0,False,,clean,1.282
certificate,verina_advanced_12__T2_helper_extract__0,artifacts/certificates/verina_advanced_12/verina_advanced_12__T2_helper_extract__0.lean,rp_equiv_rfl_nosmart,,0,False,,clean,1.273
certificate,verina_advanced_13__T1_let_intro__0,artifacts/certificates/verina_advanced_13/verina_advanced_13__T1_let_intro__0.lean,rp_equiv_rfl_nosmart,,0,False,,clean,1.494
certificate,verina_advanced_13__T2_helper_extract__0,artifacts/certificates/verina_advanced_13/verina_advanced_13__T2_helper_extract__0.lean,rp_equiv_rfl_nosmart,,0,False,,clean,1.498
certificate,verina_advanced_14__T1_let_intro__0,artifacts/certificates/verina_advanced_14/verina_advanced_14__T1_let_intro__0.lean,rp_equiv_delta_rfl,"propext, Quot.sound",2,False,,clean,1.609
certificate,verina_advanced_14__T2_helper_extract__0,artifacts/certificates/verina_advanced_14/verina_advanced_14__T2_helper_extract__0.lean,rp_equiv_delta_rfl,"propext, Quot.sound",2,False,,clean,1.557
certificate,verina_advanced_15__T1_let_intro__0,artifacts/certificates/verina_advanced_15/verina_advanced_15__T1_let_intro__0.lean,rp_equiv_rfl_nosmart,,0,False,,clean,1.338
certificate,verina_advanced_15__T2_helper_extract__0,artifacts/certificates/verina_advanced_15/verina_advanced_15__T2_helper_extract__0.lean,rp_equiv_rfl_nosmart,,0,False,,clean,1.328
certificate,verina_advanced_15__T4_cond_invert__0,artifacts/certificates/verina_advanced_15/verina_advanced_15__T4_cond_invert__0.lean,rp_equiv_simp_only,propext,1,False,,clean,1.716
certificate,verina_advanced_16__T1_let_intro__0,artifacts/certificates/verina_advanced_16/verina_advanced_16__T1_let_intro__0.lean,rp_equiv_rfl_nosmart,,0,False,,clean,1.17
certificate,verina_advanced_16__T2_helper_extract__0,artifacts/certificates/verina_advanced_16/verina_advanced_16__T2_helper_extract__0.lean,rp_equiv_rfl_nosmart,,0,False,,clean,1.241
certificate,verina_advanced_17__T1_let_intro__0,artifacts/certificates/verina_advanced_17/verina_advanced_17__T1_let_intro__0.lean,rp_equiv_rfl,,0,False,,clean,1.2
