model_id,transformation,matched_tasks,n_task_family_cells,n_matched_variants,reference_psr,model_psr,delta,ci_low,ci_high,ci_excludes_zero
deepseek-prover-v2-7b,T1_let_intro,25,25,25,1.0,1.0,0.0,0.0,0.0,False
deepseek-prover-v2-7b,T2_helper_extract,25,25,25,0.0,0.12,0.12,0.0,0.24,False
deepseek-prover-v2-7b,T3_comm_swap,9,9,13,0.2222222222222222,0.5555555555555556,0.3333333333333333,0.0,0.6666666666666666,False
deepseek-prover-v2-7b,T4_cond_invert,8,8,8,0.5,1.0,0.5,0.125,0.875,True
deepseek-prover-v2-7b,T5_branch_extract,8,8,8,0.125,0.25,0.125,-0.25,0.5,False
goedel-prover-v2-8b,T1_let_intro,23,23,23,1.0,1.0,0.0,0.0,0.0,False
goedel-prover-v2-8b,T2_helper_extract,23,23,23,0.0,0.21739130434782608,0.21739130434782608,0.043478260869565216,0.391304347826087,True
goedel-prover-v2-8b,T3_comm_swap,9,9,13,0.2222222222222222,0.6296296296296297,0.4074074074074074,-0.037037037037037056,0.8148148148148148,False
goedel-prover-v2-8b,T4_cond_invert,8,8,8,0.5,1.0,0.5,0.125,0.875,True
goedel-prover-v2-8b,T5_branch_extract,8,8,8,0.125,0.125,0.0,-0.375,0.375,False
goedel-prover-v2-32b,T1_let_intro,21,21,21,1.0,1.0,0.0,0.0,0.0,False
goedel-prover-v2-32b,T2_helper_extract,21,21,21,0.0,0.23809523809523808,0.23809523809523808,0.09523809523809523,0.42857142857142855,True
goedel-prover-v2-32b,T3_comm_swap,9,9,13,0.2222222222222222,0.48148148148148145,0.2592592592592593,-0.14814814814814817,0.6666666666666666,False
goedel-prover-v2-32b,T4_cond_invert,7,7,7,0.5714285714285714,1.0,0.42857142857142855,0.14285714285714285,0.8571428571428571,True
goedel-prover-v2-32b,T5_branch_extract,7,7,7,0.14285714285714285,0.14285714285714285,0.0,-0.42857142857142855,0.42857142857142855,False
