task_id,tier,transformation,severity,equivalence_class,applicable,inapplicable_reason,candidate_generated,n_variants,variant_ids,code_loc_original,code_loc_refactored,structural_metadata
verina_advanced_1,advanced,T1_let_intro,D,definitional,True,,True,1,['verina_advanced_1__T1_let_intro__0'],14,16.0,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': True, 'code_self_recursive': False, 'code_aux_nonempty': False, 'n_if': 1, 'n_plus': 0}"
verina_advanced_1,advanced,T2_helper_extract,S,definitional,True,,True,1,['verina_advanced_1__T2_helper_extract__0'],14,16.0,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': True, 'code_self_recursive': False, 'code_aux_nonempty': False, 'n_if': 1, 'n_plus': 0}"
verina_advanced_1,advanced,T3_comm_swap,E,theorem_certified,False,no_commutative_operator_occurrence,False,0,[],14,,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': True, 'code_self_recursive': False, 'code_aux_nonempty': False, 'n_if': 1, 'n_plus': 0}"
verina_advanced_1,advanced,T4_cond_invert,E,theorem_certified,False,no_tail_if_then_else,False,0,[],14,,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': True, 'code_self_recursive': False, 'code_aux_nonempty': False, 'n_if': 1, 'n_plus': 0}"
verina_advanced_1,advanced,T5_branch_extract,S,definitional,False,no_tail_if_then_else,False,0,[],14,,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': True, 'code_self_recursive': False, 'code_aux_nonempty': False, 'n_if': 1, 'n_plus': 0}"
verina_advanced_10,advanced,T1_let_intro,D,definitional,False,def_level_termination_clause,False,0,[],23,,"{'code_has_def_level_termination': True, 'code_has_where': True, 'code_has_do': False, 'code_has_let_rec': True, 'code_self_recursive': False, 'code_aux_nonempty': False, 'n_if': 2, 'n_plus': 1}"
verina_advanced_10,advanced,T2_helper_extract,S,definitional,False,def_level_termination_clause,False,0,[],23,,"{'code_has_def_level_termination': True, 'code_has_where': True, 'code_has_do': False, 'code_has_let_rec': True, 'code_self_recursive': False, 'code_aux_nonempty': False, 'n_if': 2, 'n_plus': 1}"
verina_advanced_10,advanced,T3_comm_swap,E,theorem_certified,True,,True,1,['verina_advanced_10__T3_comm_swap__0'],23,23.0,"{'code_has_def_level_termination': True, 'code_has_where': True, 'code_has_do': False, 'code_has_let_rec': True, 'code_self_recursive': False, 'code_aux_nonempty': False, 'n_if': 2, 'n_plus': 1}"
verina_advanced_10,advanced,T4_cond_invert,E,theorem_certified,False,def_level_termination_clause,False,0,[],23,,"{'code_has_def_level_termination': True, 'code_has_where': True, 'code_has_do': False, 'code_has_let_rec': True, 'code_self_recursive': False, 'code_aux_nonempty': False, 'n_if': 2, 'n_plus': 1}"
verina_advanced_10,advanced,T5_branch_extract,S,definitional,False,def_level_termination_clause,False,0,[],23,,"{'code_has_def_level_termination': True, 'code_has_where': True, 'code_has_do': False, 'code_has_let_rec': True, 'code_self_recursive': False, 'code_aux_nonempty': False, 'n_if': 2, 'n_plus': 1}"
verina_advanced_11,advanced,T1_let_intro,D,definitional,True,,True,1,['verina_advanced_11__T1_let_intro__0'],5,7.0,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': False, 'code_self_recursive': False, 'code_aux_nonempty': True, 'n_if': 0, 'n_plus': 0}"
verina_advanced_11,advanced,T2_helper_extract,S,definitional,True,,True,1,['verina_advanced_11__T2_helper_extract__0'],5,7.0,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': False, 'code_self_recursive': False, 'code_aux_nonempty': True, 'n_if': 0, 'n_plus': 0}"
