task_id,category,recursive,code_loc,code_tokens,postcond_loc,n_certified_variants,applicable_families,has_T1,has_T2,has_T3,has_T4,has_T5,matched_deepseek-prover-v2-7b,matched_goedel-prover-v2-8b,matched_goedel-prover-v2-32b
verina_basic_1,basic,False,1,4,2.0,3,T1_let_intro;T2_helper_extract;T3_comm_swap,True,True,True,False,False,True,True,True
verina_basic_10,basic,False,1,8,1.0,2,T1_let_intro;T2_helper_extract,True,True,False,False,False,False,False,False
verina_basic_100,basic,False,3,14,1.0,6,T1_let_intro;T2_helper_extract;T3_comm_swap;T4_cond_invert;T5_branch_extract,True,True,True,True,True,True,True,True
verina_basic_101,basic,False,2,9,1.0,4,T1_let_intro;T2_helper_extract;T3_comm_swap,True,True,True,False,False,True,True,True
verina_basic_11,basic,False,1,2,2.0,2,T1_let_intro;T2_helper_extract,True,True,False,False,False,True,True,True
verina_basic_12,basic,False,1,4,1.0,3,T1_let_intro;T2_helper_extract;T3_comm_swap,True,True,True,False,False,True,True,True
verina_basic_13,basic,False,1,12,2.0,2,T1_let_intro;T2_helper_extract,True,True,False,False,False,False,False,False
verina_basic_14,basic,False,1,15,2.0,2,T1_let_intro;T2_helper_extract,True,True,False,False,False,True,True,True
verina_basic_15,basic,False,6,50,1.0,4,T1_let_intro;T2_helper_extract;T4_cond_invert;T5_branch_extract,True,True,False,True,True,False,False,False
verina_basic_16,basic,False,3,26,6.0,2,T1_let_intro;T2_helper_extract,True,True,False,False,False,True,False,False
verina_basic_17,basic,False,3,26,6.0,2,T1_let_intro;T2_helper_extract,True,True,False,False,False,True,False,False
verina_basic_19,basic,False,8,39,1.0,5,T1_let_intro;T2_helper_extract;T3_comm_swap;T4_cond_invert;T5_branch_extract,True,True,True,True,True,False,False,False
verina_basic_2,basic,False,1,2,4.0,2,T1_let_intro;T2_helper_extract,True,True,False,False,False,False,False,False
verina_basic_26,basic,False,1,4,1.0,2,T1_let_intro;T2_helper_extract,True,True,False,False,False,True,True,True
verina_basic_29,basic,False,1,3,3.0,2,T1_let_intro;T2_helper_extract,True,True,False,False,False,False,False,False
verina_basic_3,basic,False,1,4,1.0,2,T1_let_intro;T2_helper_extract,True,True,False,False,False,True,True,True
verina_basic_30,basic,False,1,15,2.0,2,T1_let_intro;T2_helper_extract,True,True,False,False,False,False,False,False
verina_basic_31,basic,False,3,26,6.0,2,T1_let_intro;T2_helper_extract,True,True,False,False,False,True,False,False
verina_basic_32,basic,False,3,31,4.0,2,T1_let_intro;T2_helper_extract,True,True,False,False,False,False,False,False
verina_basic_36,basic,False,3,27,6.0,2,T1_let_intro;T2_helper_extract,True,True,False,False,False,False,True,False
verina_basic_4,basic,False,1,6,1.0,2,T1_let_intro;T2_helper_extract,True,True,False,False,False,False,False,False
verina_basic_42,basic,False,1,6,2.0,2,T1_let_intro;T2_helper_extract,True,True,False,False,False,True,True,True
verina_basic_44,basic,False,4,62,1.0,2,T1_let_intro;T2_helper_extract,True,True,False,False,False,False,False,False
verina_basic_45,basic,False,3,28,3.0,3,T1_let_intro;T2_helper_extract;T3_comm_swap,True,True,True,False,False,False,False,False
verina_basic_47,basic,False,1,1,2.0,2,T1_let_intro;T2_helper_extract,True,True,False,False,False,False,False,False
verina_basic_48,basic,True,10,61,1.0,3,T1_let_intro;T2_helper_extract;T3_comm_swap;T4_cond_invert,True,True,False,True,False,False,False,False
verina_basic_49,basic,False,6,72,4.0,2,T1_let_intro;T2_helper_extract,True,True,False,False,False,False,False,False
verina_basic_5,basic,False,1,3,1.0,3,T1_let_intro;T2_helper_extract;T3_comm_swap,True,True,True,False,False,True,True,True
verina_basic_50,basic,False,1,8,1.0,4,T1_let_intro;T2_helper_extract;T4_cond_invert;T5_branch_extract,True,True,False,True,True,True,True,True
verina_basic_53,basic,True,4,26,1.0,2,T1_let_intro;T2_helper_extract,True,True,False,False,False,False,False,False
verina_basic_55,basic,False,1,8,1.0,4,T1_let_intro;T2_helper_extract;T4_cond_invert;T5_branch_extract,True,True,False,True,True,True,True,True
verina_basic_6,basic,False,3,29,2.0,4,T1_let_intro;T2_helper_extract;T4_cond_invert;T5_branch_extract,True,True,False,True,True,True,True,False
verina_basic_66,basic,False,1,8,1.0,4,T1_let_intro;T2_helper_extract;T4_cond_invert;T5_branch_extract,True,True,False,True,True,True,True,True
verina_basic_68,basic,True,6,36,1.0,2,T1_let_intro;T2_helper_extract;T3_comm_swap,True,True,False,False,False,False,False,False
verina_basic_76,basic,False,1,8,1.0,4,T1_let_intro;T2_helper_extract;T4_cond_invert;T5_branch_extract,True,True,False,True,True,True,True,True
verina_basic_78,basic,False,3,19,1.0,3,T1_let_intro;T2_helper_extract;T3_comm_swap,True,True,True,False,False,True,True,True
verina_basic_8,basic,False,1,9,2.0,4,T1_let_intro;T2_helper_extract;T4_cond_invert;T5_branch_extract,True,True,False,True,True,True,True,True
verina_basic_81,basic,False,1,13,3.0,4,T1_let_intro;T2_helper_extract;T4_cond_invert;T5_branch_extract,True,True,False,True,True,False,False,False
verina_basic_9,basic,False,1,13,1.0,2,T1_let_intro;T2_helper_extract,True,True,False,False,False,False,False,False
verina_basic_91,basic,False,6,30,2.0,2,T1_let_intro;T2_helper_extract,True,True,False,False,False,True,True,True
verina_basic_92,basic,False,6,36,2.0,3,T1_let_intro;T2_helper_extract;T3_comm_swap,True,True,True,False,False,True,True,True
verina_basic_95,basic,False,5,41,4.0,2,T1_let_intro;T2_helper_extract,True,True,False,False,False,False,False,False
verina_basic_96,basic,False,1,5,2.0,2,T1_let_intro;T2_helper_extract,True,True,False,False,False,True,True,True
verina_basic_97,basic,False,1,3,2.0,2,T1_let_intro;T2_helper_extract,True,True,False,False,False,False,False,False
verina_basic_98,basic,False,1,2,1.0,3,T1_let_intro;T2_helper_extract;T3_comm_swap,True,True,True,False,False,True,True,True
verina_basic_99,basic,False,7,32,1.0,7,T1_let_intro;T2_helper_extract;T3_comm_swap;T4_cond_invert;T5_branch_extract,True,True,True,True,True,True,True,True
