task_id,variant_id,transformation,severity,equivalence_class,certificate_valid,certificate_closed_by_rfl,certificate_level,proof_source,model_id,generation_attempt,original_proof_valid,equivalence_certified,outcome,survives,failure_category,lean_exit_code,lean_elapsed_seconds,proof_region_errors,other_region_errors,proof_hash,spec_hash,command,cwd,file,exit_code,stdout,stderr,elapsed_seconds,timed_out,messages,ok,primary_category,proof_text,proof_aux_text,model_family,base_model,strategy_condition,tier,code_loc_original,code_loc_refactored,metadata,cert_level,cert_seconds,proof_chars,proof_lines,proof_loc,n_tactic_tokens,count_unfold,unfolds_target_function,unfold_mentions_postcond,count_simp,count_simp_all,simp_mentions_target_function,simp_only_used,count_rw,count_have,count_exact,count_apply,count_intro,count_constructor,count_cases,count_induction,count_split,count_by_cases,count_omega,count_decide,count_aesop,count_grind,count_rfl,count_norm_num,count_linarith,uses_automation,target_function_name_occurrences,code_aux_identifier_occurrences,mentions_code_aux_identifier,mentions_extracted_helper_name,mentions_h_precond,proof_aux_nonempty,first_tactic,tactic_histogram,_key,group
verina_basic_1,verina_basic_1__T1_let_intro__0,T1_let_intro,D,definitional,True,True,rfl,reference,,,True,True,survives,True,,0.0,8.101,[],[],4cc53b16da1f3c3f504647e8ccd8d3d6e1806c4acdd6de83c1552ec203cd6e2d,43e0a7d0f50b6844ce2ecb2d157e44c1ddca1b1d778219cb4401c97c796e07d2,,,,,,,,,,,,,,,,,basic,1,3,"{'tmp_name': '__rp_tmp_8c14b1b6', 'seed': 0}",rfl,5.377,364,17,15,13,1,True,True,2,1,False,False,2,2,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,True,1,0,False,False,False,False,unfold,cases=1;constructor=1;exact=2;have=2;intro=1;rw=2;simp=2;simp_all=1;unfold=1,"('verina_basic_1', 'reference', None, None)",reference
verina_basic_1,verina_basic_1__T2_helper_extract__0,T2_helper_extract,S,definitional,True,True,rfl,reference,,,True,True,proof_fails,False,simp_failed,1.0,7.91,"['simp made no progress', 'simp made no progress', ""tactic 'rewrite' failed, did not find instance of the pattern in the target expression\n  decide ?p = true\ncase right\na b : ℤ\nh_precond : hasOppositeSign_precond a b\n⊢ ¬(a < 0 ∧ b > 0 ∨ a > 0 ∧ b < 0) → ¬hasOppositeSign__rp_helper_5272bffb a b h_precond = true\n""]",[],4cc53b16da1f3c3f504647e8ccd8d3d6e1806c4acdd6de83c1552ec203cd6e2d,43e0a7d0f50b6844ce2ecb2d157e44c1ddca1b1d778219cb4401c97c796e07d2,,,,,,,,,,,,,,,,,basic,1,3,"{'binders': ['a', 'b', 'h_precond'], 'seed': 0}",rfl,5.414,364,17,15,13,1,True,True,2,1,False,False,2,2,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,True,1,0,False,False,False,False,unfold,cases=1;constructor=1;exact=2;have=2;intro=1;rw=2;simp=2;simp_all=1;unfold=1,"('verina_basic_1', 'reference', None, None)",reference
verina_basic_1,verina_basic_1__T3_comm_swap__0,T3_comm_swap,E,theorem_certified,True,False,simp_only,reference,,,True,True,proof_fails,False,type_mismatch,1.0,9.29,"['application type mismatch\n  Int.mul_neg_of_neg_of_pos ha\nargument\n  ha\nhas type\n  a < 0 : Prop\nbut is expected to have type\n  b < 0 : Prop', 'application type mismatch\n  Int.mul_neg_of_neg_of_pos hb\nargument\n  hb\nhas type\n  b < 0 : Prop\nbut is expected to have type\n  a < 0 : Prop', 'unsolved goals\ncase right\na b : ℤ\n⊢ (a < 0 → b ≤ 0) → (0 < a → 0 ≤ b) → (0 < b → 0 ≤ a) ∧ (b < 0 → a ≤ 0)\n']",[],4cc53b16da1f3c3f504647e8ccd8d3d6e1806c4acdd6de83c1552ec203cd6e2d,43e0a7d0f50b6844ce2ecb2d157e44c1ddca1b1d778219cb4401c97c796e07d2,,,,,,,,,,,,,,,,,basic,1,1,"{'law_sets': [['add_comm', 'add_left_comm', 'add_assoc', 'mul_comm', 'mul_left_comm', 'mul_assoc', 'Bool.and_comm', 'Bool.and_left_comm', 'Bool.and_assoc', 'Bool.or_comm', 'Bool.or_left_comm', 'Bool.or_assoc', 'and_comm', 'and_left_comm', 'and_assoc', 'or_comm', 'or_left_comm', 'or_assoc'], ['Nat.add_comm', 'Nat.add_left_comm', 'Nat.add_assoc', 'Nat.mul_comm', 'Nat.mul_left_comm', 'Nat.mul_assoc', 'Int.add_comm', 'Int.add_left_comm', 'Int.add_assoc', 'Int.mul_comm', 'Int.mul_left_comm', 'Int.mul_assoc', 'Bool.and_comm', 'Bool.and_left_comm', 'Bool.and_assoc', 'Bool.or_comm', 'Bool.or_left_comm', 'Bool.or_assoc', 'and_comm', 'and_left_comm', 'and_assoc', 'or_comm', 'or_left_comm', 'or_assoc'], ['Nat.add_comm', 'Int.add_comm', 'Nat.mul_comm', 'Int.mul_comm', 'Bool.and_comm', 'Bool.or_comm', 'and_comm', 'or_comm']], 'operator': '*', 'lhs': 'a', 'rhs': 'b', 'occurrence_index': 0, 'n_eligible_occurrences': 1, 'char_offset': 2, 'seed': 0}",simp_only,5.827,364,17,15,13,1,True,True,2,1,False,False,2,2,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,True,1,0,False,False,False,False,unfold,cases=1;constructor=1;exact=2;have=2;intro=1;rw=2;simp=2;simp_all=1;unfold=1,"('verina_basic_1', 'reference', None, None)",reference
verina_basic_10,verina_basic_10__T1_let_intro__0,T1_let_intro,D,definitional,True,True,rfl,reference,,,True,True,survives,True,,0.0,0.883,[],[],7d3515d14e95933a588ef7f0e7a666f9404b24c5bc119ca34414f057f296b48c,6b685531fd1dac53ef004523d208959ca04309d5100dc7b60307820548ead3d0,,,,,,,,,,,,,,,,,basic,1,3,"{'tmp_name': '__rp_tmp_f0724323', 'seed': 0}",rfl,0.72,60,2,2,2,1,True,True,1,0,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,1,0,False,False,False,False,unfold,simp=1;unfold=1,"('verina_basic_10', 'reference', None, None)",reference
verina_basic_10,verina_basic_10__T2_helper_extract__0,T2_helper_extract,S,definitional,True,True,rfl,reference,,,True,True,proof_fails,False,unsolved_goals,1.0,0.886,"['unsolved goals\nn : Int\na : Array Int\nh_precond : isGreater_precond n a\n⊢ (∀ (i : Nat) (hi : i < a.size), a[i] < n) ↔ isGreater__rp_helper_d4e98f7f n a h_precond = true\n']",[],7d3515d14e95933a588ef7f0e7a666f9404b24c5bc119ca34414f057f296b48c,6b685531fd1dac53ef004523d208959ca04309d5100dc7b60307820548ead3d0,,,,,,,,,,,,,,,,,basic,1,3,"{'binders': ['n', 'a', 'h_precond'], 'seed': 0}",rfl,0.724,60,2,2,2,1,True,True,1,0,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,1,0,False,False,False,False,unfold,simp=1;unfold=1,"('verina_basic_10', 'reference', None, None)",reference
verina_basic_100,verina_basic_100__T1_let_intro__0,T1_let_intro,D,definitional,True,True,rfl,reference,,,True,True,survives,True,,0.0,8.157,[],[],a188e1cecea258ef5cc8649df0654c3917fd422f5d225a19b681b3380fed84d0,8ea4c3de66341ef9c4cf3858383ca0ba1bd09ec82562a4f2c725938ed517ce4c,,,,,,,,,,,,,,,,,basic,3,5,"{'tmp_name': '__rp_tmp_9eb265b3', 'seed': 0}",rfl,5.355,158,8,8,7,1,True,True,3,0,False,False,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,1,0,False,False,False,False,unfold,rw=3;simp=3;unfold=1,"('verina_basic_100', 'reference', None, None)",reference
verina_basic_100,verina_basic_100__T2_helper_extract__0,T2_helper_extract,S,definitional,True,True,rfl,reference,,,True,True,proof_fails,False,tactic_failed,1.0,7.808,"[""tactic 'split_ifs' failed, no if-then-else conditions to split\nx : ℤ\nh_precond : Triple_precond x\n⊢ Triple__rp_helper_574d859a x h_precond / 3 = x ∧\n    Triple__rp_helper_574d859a x h_precond / 3 * 3 = Triple__rp_helper_574d859a x h_precond\n""]",[],a188e1cecea258ef5cc8649df0654c3917fd422f5d225a19b681b3380fed84d0,8ea4c3de66341ef9c4cf3858383ca0ba1bd09ec82562a4f2c725938ed517ce4c,,,,,,,,,,,,,,,,,basic,3,5,"{'binders': ['x', 'h_precond'], 'seed': 0}",rfl,5.469,158,8,8,7,1,True,True,3,0,False,False,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,1,0,False,False,False,False,unfold,rw=3;simp=3;unfold=1,"('verina_basic_100', 'reference', None, None)",reference
verina_basic_100,verina_basic_100__T3_comm_swap__0,T3_comm_swap,E,theorem_certified,True,False,simp_only,reference,,,True,True,proof_fails,False,rewrite_failed,1.0,8.046,"[""tactic 'rewrite' failed, did not find instance of the pattern in the target expression\n  ?a * ?c + ?b * ?c\ncase neg\nx : ℤ\nh_precond : Triple_precond x\nh₁ : ¬x = 0\n⊢ (1 * x + x * 2) / 3 = x ∧ (x + x * 2) / 3 * 3 = x + x * 2\n""]",[],a188e1cecea258ef5cc8649df0654c3917fd422f5d225a19b681b3380fed84d0,8ea4c3de66341ef9c4cf3858383ca0ba1bd09ec82562a4f2c725938ed517ce4c,,,,,,,,,,,,,,,,,basic,3,3,"{'law_sets': [['add_comm', 'add_left_comm', 'add_assoc', 'mul_comm', 'mul_left_comm', 'mul_assoc', 'Bool.and_comm', 'Bool.and_left_comm', 'Bool.and_assoc', 'Bool.or_comm', 'Bool.or_left_comm', 'Bool.or_assoc', 'and_comm', 'and_left_comm', 'and_assoc', 'or_comm', 'or_left_comm', 'or_assoc'], ['Nat.add_comm', 'Nat.add_left_comm', 'Nat.add_assoc', 'Nat.mul_comm', 'Nat.mul_left_comm', 'Nat.mul_assoc', 'Int.add_comm', 'Int.add_left_comm', 'Int.add_assoc', 'Int.mul_comm', 'Int.mul_left_comm', 'Int.mul_assoc', 'Bool.and_comm', 'Bool.and_left_comm', 'Bool.and_assoc', 'Bool.or_comm', 'Bool.or_left_comm', 'Bool.or_assoc', 'and_comm', 'and_left_comm', 'and_assoc', 'or_comm', 'or_left_comm', 'or_assoc'], ['Nat.add_comm', 'Int.add_comm', 'Nat.mul_comm', 'Int.mul_comm', 'Bool.and_comm', 'Bool.or_comm', 'and_comm', 'or_comm']], 'operator': '*', 'lhs': '2', 'rhs': 'x', 'occurrence_index': 0, 'n_eligible_occurrences': 2, 'char_offset': 36, 'seed': 0}",simp_only,5.479,158,8,8,7,1,True,True,3,0,False,False,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,1,0,False,False,False,False,unfold,rw=3;simp=3;unfold=1,"('verina_basic_100', 'reference', None, None)",reference
verina_basic_100,verina_basic_100__T3_comm_swap__1,T3_comm_swap,E,theorem_certified,True,False,simp_only,reference,,,True,True,proof_fails,False,rewrite_failed,1.0,8.017,"[""tactic 'rewrite' failed, did not find instance of the pattern in the target expression\n  ?a * ?c + ?b * ?c\ncase neg\nx : ℤ\nh_precond : Triple_precond x\nh₁ : ¬x = 0\n⊢ (2 * (1 * x) + x) / 3 = x ∧ (2 * x + x) / 3 * 3 = 2 * x + x\n""]",[],a188e1cecea258ef5cc8649df0654c3917fd422f5d225a19b681b3380fed84d0,8ea4c3de66341ef9c4cf3858383ca0ba1bd09ec82562a4f2c725938ed517ce4c,,,,,,,,,,,,,,,,,basic,3,3,"{'law_sets': [['add_comm', 'add_left_comm', 'add_assoc', 'mul_comm', 'mul_left_comm', 'mul_assoc', 'Bool.and_comm', 'Bool.and_left_comm', 'Bool.and_assoc', 'Bool.or_comm', 'Bool.or_left_comm', 'Bool.or_assoc', 'and_comm', 'and_left_comm', 'and_assoc', 'or_comm', 'or_left_comm', 'or_assoc'], ['Nat.add_comm', 'Nat.add_left_comm', 'Nat.add_assoc', 'Nat.mul_comm', 'Nat.mul_left_comm', 'Nat.mul_assoc', 'Int.add_comm', 'Int.add_left_comm', 'Int.add_assoc', 'Int.mul_comm', 'Int.mul_left_comm', 'Int.mul_assoc', 'Bool.and_comm', 'Bool.and_left_comm', 'Bool.and_assoc', 'Bool.or_comm', 'Bool.or_left_comm', 'Bool.or_assoc', 'and_comm', 'and_left_comm', 'and_assoc', 'or_comm', 'or_left_comm', 'or_assoc'], ['Nat.add_comm', 'Int.add_comm', 'Nat.mul_comm', 'Int.mul_comm', 'Bool.and_comm', 'Bool.or_comm', 'and_comm', 'or_comm']], 'operator': '+', 'lhs': 'x', 'rhs': 'y', 'occurrence_index': 1, 'n_eligible_occurrences': 2, 'char_offset': 46, 'seed': 0}",simp_only,5.627,158,8,8,7,1,True,True,3,0,False,False,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,1,0,False,False,False,False,unfold,rw=3;simp=3;unfold=1,"('verina_basic_100', 'reference', None, None)",reference
verina_basic_100,verina_basic_100__T4_cond_invert__0,T4_cond_invert,E,theorem_certified,True,False,simp_only,reference,,,True,True,survives,True,,0.0,8.171,[],[],a188e1cecea258ef5cc8649df0654c3917fd422f5d225a19b681b3380fed84d0,8ea4c3de66341ef9c4cf3858383ca0ba1bd09ec82562a4f2c725938ed517ce4c,,,,,,,,,,,,,,,,,basic,3,4,"{'law_sets': [['ite_not'], ['ite_not', 'Bool.not_eq_true', 'decide_not', 'Nat.not_lt', 'Nat.not_le', 'Int.not_lt', 'Int.not_le']], 'condition': 'x = 0', 'then_multiline': False, 'seed': 0}",simp_only,5.461,158,8,8,7,1,True,True,3,0,False,False,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,1,0,False,False,False,False,unfold,rw=3;simp=3;unfold=1,"('verina_basic_100', 'reference', None, None)",reference
