model_id,task_id,n_valid_samples,n_variants,n_variants_with_disagreement,identical_outcomes,psr_first_valid,psr_mean,psr_min,psr_max,psr_range,psr_sd,psr_S_range,psr_E_range
deepseek-prover-v2-7b,verina_advanced_41,4,4,0,True,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
deepseek-prover-v2-7b,verina_advanced_6,2,2,0,True,0.5,0.5,0.5,0.5,0.0,0.0,0.0,
deepseek-prover-v2-7b,verina_basic_1,1,3,0,True,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0
deepseek-prover-v2-7b,verina_basic_100,4,6,5,False,0.6666666666666666,0.625,0.5,0.6666666666666666,0.16666666666666663,0.0721687836487032,1.0,1.0
deepseek-prover-v2-7b,verina_basic_101,5,4,3,False,0.75,0.7,0.5,0.75,0.25,0.09999999999999999,1.0,1.0
deepseek-prover-v2-7b,verina_basic_107,5,3,1,False,0.3333333333333333,0.4666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.1632993161855452,1.0,0.0
deepseek-prover-v2-7b,verina_basic_11,5,2,1,False,1.0,0.7,0.5,1.0,0.5,0.2449489742783178,1.0,
deepseek-prover-v2-7b,verina_basic_12,5,3,1,False,0.3333333333333333,0.5333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.1632993161855452,1.0,0.0
deepseek-prover-v2-7b,verina_basic_14,1,2,0,True,0.5,0.5,0.5,0.5,0.0,0.0,0.0,
deepseek-prover-v2-7b,verina_basic_16,1,2,0,True,0.5,0.5,0.5,0.5,0.0,0.0,0.0,
deepseek-prover-v2-7b,verina_basic_17,1,2,0,True,0.5,0.5,0.5,0.5,0.0,0.0,0.0,
deepseek-prover-v2-7b,verina_basic_26,5,2,0,True,0.5,0.5,0.5,0.5,0.0,0.0,0.0,
deepseek-prover-v2-7b,verina_basic_3,5,2,0,True,0.5,0.5,0.5,0.5,0.0,0.0,0.0,
deepseek-prover-v2-7b,verina_basic_31,1,2,0,True,0.5,0.5,0.5,0.5,0.0,0.0,0.0,
deepseek-prover-v2-7b,verina_basic_42,4,2,1,False,1.0,0.875,0.5,1.0,0.5,0.21650635094610965,1.0,
deepseek-prover-v2-7b,verina_basic_43,2,1,0,True,1.0,1.0,1.0,1.0,0.0,0.0,,
deepseek-prover-v2-7b,verina_basic_5,5,3,1,False,0.3333333333333333,0.5999999999999999,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.13333333333333333,0.0,1.0
deepseek-prover-v2-7b,verina_basic_50,2,4,0,True,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
deepseek-prover-v2-7b,verina_basic_55,5,4,1,False,0.75,0.7,0.5,0.75,0.25,0.09999999999999999,0.5,0.0
deepseek-prover-v2-7b,verina_basic_59,5,4,0,True,0.75,0.75,0.75,0.75,0.0,0.0,0.0,0.0
deepseek-prover-v2-7b,verina_basic_6,2,4,0,True,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
deepseek-prover-v2-7b,verina_basic_66,3,4,0,True,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
deepseek-prover-v2-7b,verina_basic_76,3,4,1,False,0.75,0.6666666666666666,0.5,0.75,0.25,0.11785113019775792,0.5,0.0
deepseek-prover-v2-7b,verina_basic_78,5,3,2,False,0.3333333333333333,0.4666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.1632993161855452,1.0,1.0
deepseek-prover-v2-7b,verina_basic_8,4,4,0,True,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
deepseek-prover-v2-7b,verina_basic_88,2,2,0,True,0.5,0.5,0.5,0.5,0.0,0.0,0.0,
deepseek-prover-v2-7b,verina_basic_91,5,2,1,False,0.5,0.7,0.5,1.0,0.5,0.2449489742783178,1.0,
deepseek-prover-v2-7b,verina_basic_92,5,3,0,True,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0
deepseek-prover-v2-7b,verina_basic_96,5,2,1,False,1.0,0.9,0.5,1.0,0.5,0.20000000000000004,1.0,
deepseek-prover-v2-7b,verina_basic_98,5,3,2,False,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,1.0,1.0
deepseek-prover-v2-7b,verina_basic_99,4,7,6,False,0.7142857142857143,0.6428571428571429,0.42857142857142855,0.7142857142857143,0.28571428571428575,0.12371791482634839,1.0,1.0
goedel-prover-v2-32b,verina_advanced_41,2,4,3,False,0.75,0.625,0.5,0.75,0.25,0.125,1.0,1.0
goedel-prover-v2-32b,verina_advanced_6,4,2,1,False,0.5,0.75,0.5,1.0,0.5,0.25,1.0,
goedel-prover-v2-32b,verina_basic_1,4,3,1,False,0.3333333333333333,0.41666666666666663,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.14433756729740643,0.0,1.0
goedel-prover-v2-32b,verina_basic_100,3,6,0,True,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0
goedel-prover-v2-32b,verina_basic_101,5,4,0,True,0.75,0.75,0.75,0.75,0.0,0.0,0.0,0.0
goedel-prover-v2-32b,verina_basic_107,4,3,2,False,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,1.0,1.0
goedel-prover-v2-32b,verina_basic_11,5,2,1,False,1.0,0.9,0.5,1.0,0.5,0.2,1.0,
goedel-prover-v2-32b,verina_basic_12,5,3,2,False,0.3333333333333333,0.5333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.1632993161855452,1.0,1.0
goedel-prover-v2-32b,verina_basic_14,1,2,0,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
goedel-prover-v2-32b,verina_basic_26,3,2,0,True,0.5,0.5,0.5,0.5,0.0,0.0,0.0,
goedel-prover-v2-32b,verina_basic_3,3,2,0,True,0.5,0.5,0.5,0.5,0.0,0.0,0.0,
goedel-prover-v2-32b,verina_basic_42,5,2,1,False,1.0,0.8,0.5,1.0,0.5,0.2449489742783178,1.0,
goedel-prover-v2-32b,verina_basic_43,1,1,0,True,1.0,1.0,1.0,1.0,0.0,0.0,,
goedel-prover-v2-32b,verina_basic_5,5,3,2,False,0.6666666666666666,0.5999999999999999,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.13333333333333333,1.0,1.0
goedel-prover-v2-32b,verina_basic_50,5,4,3,False,0.5,0.65,0.5,0.75,0.25,0.1224744871391589,1.0,1.0
goedel-prover-v2-32b,verina_basic_55,5,4,1,False,0.75,0.6,0.5,0.75,0.25,0.1224744871391589,0.5,0.0
goedel-prover-v2-32b,verina_basic_59,5,4,0,True,0.75,0.75,0.75,0.75,0.0,0.0,0.0,0.0
goedel-prover-v2-32b,verina_basic_66,5,4,1,False,0.5,0.55,0.5,0.75,0.25,0.09999999999999999,0.5,0.0
goedel-prover-v2-32b,verina_basic_76,5,4,3,False,0.5,0.55,0.5,0.75,0.25,0.09999999999999999,1.0,1.0
goedel-prover-v2-32b,verina_basic_78,5,3,1,False,0.3333333333333333,0.5333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.1632993161855452,0.0,1.0
goedel-prover-v2-32b,verina_basic_8,3,4,0,True,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
goedel-prover-v2-32b,verina_basic_91,5,2,1,False,0.5,0.6,0.5,1.0,0.5,0.20000000000000004,1.0,
goedel-prover-v2-32b,verina_basic_92,5,3,0,True,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0
goedel-prover-v2-32b,verina_basic_96,5,2,1,False,1.0,0.9,0.5,1.0,0.5,0.2,1.0,
goedel-prover-v2-32b,verina_basic_98,5,3,2,False,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,1.0,1.0
goedel-prover-v2-32b,verina_basic_99,5,7,2,False,0.42857142857142855,0.6571428571428573,0.42857142857142855,0.7142857142857143,0.28571428571428575,0.11428571428571431,0.0,0.5
goedel-prover-v2-8b,verina_advanced_41,2,4,3,False,0.75,0.625,0.5,0.75,0.25,0.125,1.0,1.0
