group,severity,n_tasks,n_variants,psr_task,ci_low,ci_high,psr_variant
deepseek-prover-v2-7b,D,31,31,1.0,1.0,1.0,1.0
deepseek-prover-v2-7b,E,18,25,0.7222222222222222,0.5,0.9444444444444444,0.8
deepseek-prover-v2-7b,S,30,39,0.13333333333333333,0.03333333333333333,0.25,0.1282051282051282
deepseek-prover-v2-7b__hard_unfold,D,30,30,1.0,1.0,1.0,1.0
deepseek-prover-v2-7b__hard_unfold,E,18,25,0.5833333333333334,0.3611111111111111,0.8055555555555556,0.68
deepseek-prover-v2-7b__hard_unfold,S,29,38,0.1896551724137931,0.06896551724137931,0.3448275862068966,0.18421052631578946
goedel-prover-v2-32b,D,26,26,1.0,1.0,1.0,1.0
goedel-prover-v2-32b,E,17,24,0.6764705882352942,0.4411764705882353,0.8823529411764706,0.7083333333333334
goedel-prover-v2-32b,S,25,33,0.26,0.1,0.44,0.24242424242424243
goedel-prover-v2-8b,D,29,29,1.0,1.0,1.0,1.0
goedel-prover-v2-8b,E,19,26,0.7236842105263158,0.5263157894736842,0.8947368421052632,0.7692307692307693
goedel-prover-v2-8b,S,28,38,0.26785714285714285,0.10714285714285714,0.42857142857142855,0.23684210526315788
goedel-prover-v2-8b__avoid_unfold,D,32,32,1.0,1.0,1.0,1.0
goedel-prover-v2-8b__avoid_unfold,E,18,25,0.6111111111111112,0.3888888888888889,0.8333333333333334,0.72
goedel-prover-v2-8b__avoid_unfold,S,31,40,0.22580645161290322,0.0967741935483871,0.3870967741935484,0.225
goedel-prover-v2-8b__hard_unfold,D,31,31,1.0,1.0,1.0,1.0
goedel-prover-v2-8b__hard_unfold,E,20,27,0.9,0.75,1.0,0.9259259259259259
goedel-prover-v2-8b__hard_unfold,S,31,41,0.11290322580645161,0.03225806451612903,0.20967741935483872,0.12195121951219512
goedel-prover-v2-8b__unfold,D,1,1,1.0,1.0,1.0,1.0
goedel-prover-v2-8b__unfold,S,1,1,0.0,0.0,0.0,0.0
qwen3-14b,D,5,5,1.0,1.0,1.0,1.0
qwen3-14b,E,4,5,0.25,0.0,0.75,0.2
qwen3-14b,S,5,6,0.0,0.0,0.0,0.0
qwen3-14b__neutral,D,8,8,1.0,1.0,1.0,1.0
qwen3-14b__neutral,E,4,5,0.25,0.0,0.75,0.2
qwen3-14b__neutral,S,8,9,0.125,0.0,0.375,0.1111111111111111
qwen3-32b,D,5,5,1.0,1.0,1.0,1.0
qwen3-32b,E,3,3,0.3333333333333333,0.0,1.0,0.3333333333333333
qwen3-32b,S,5,6,0.3,0.0,0.7,0.3333333333333333
reference,D,46,46,1.0,1.0,1.0,1.0
reference,E,20,27,0.4416666666666666,0.24166666666666664,0.65,0.37037037037037035
reference,S,46,57,0.043478260869565216,0.0,0.09782608695652174,0.05263157894736842
